lp,slowo,liczba,label
1,być,442,AEBAA
2,się,437,EJB
3,że,324,GBBBBAB
4,on,300,EAAA
5,nie,297,GBBBA
6,breivik,269,-
7,do,258,G
8,który,170,EAB
9,to,166,EEAAA
10,o,144,GBBAA
11,osoba,140,ADAAA
12,zamach,130,ACAAAB
13,norwegii,126,-
14,norweski,120,CBA
15,wyspa,119,ADAAA
16,oslo,111,-
17,lata,109,AGDAA
18,od,107,GBBAA
19,ta,105,EDAAA
20,breivika,99,-
21,anders,98,-
22,po,98,GBBAA
23,a,94,GBBAB
24,przez,89,GBBAA
25,za,87,GBBAA
26,utoya,87,-
27,jak,86,ABAC
28,człowiek,81,AAHA
29,więzienie,79,AEBAA
30,zostać,78,BAFABD
31,rok,77,ACEA
32,dla,73,GBBAA
33,sąd,71,ACAAAAA
34,ten,70,EAABA
35,co,68,EGB
36,ma,63,EDAAB
37,ale,63,GBBBBAB
38,czy,63,EK
39,partia,62,ADACBAA
40,może,60,GBBBA
41,przed,58,GBBAA
42,zamachowiec,57,AAACBA
43,inny,56,CAB
44,taż,56,EDCA
45,europ,53,ACAAAAA
46,oraz,52,GBBAB
47,mówić,50,BBCA
48,atak,50,ACABA
49,policja,50,ADACBAA
50,premier,48,AAACAAAB
51,ofiara,48,ADAAA
52,bycie,47,AEBAA
53,prawicowy,46,CAB
54,masakra,46,ADAAA
55,bronić,46,BBCA
56,praca,45,ADACABB
57,swoja,45,EDAB
58,zginąć,44,BAEAB
59,czas,43,ACAAAAA
60,wyrok,42,ACABA
61,móc,42,BAFCABD
62,lipiec,42,ACACBC
63,ze,42,GBBBBBA
64,jeden,42,CCBA
65,europejski,42,CBA
66,jednak,40,GBBBA
67,letni,40,CBB
68,sam,39,ACAAAAA
69,polityczny,39,CAB
70,kraj,38,ACACACB
71,obóz,38,ACAAAAA
72,taki,37,EAC
73,jako,37,GBBAB
74,zabić,36,AEBAA
75,miał,35,ACAAAAA
76,kara,35,ADAAA
77,pod,35,GBBAA
78,władza,35,ADACABB
79,bomba,34,ADAAA
80,bezpieczeństwo,34,AEAAAB
81,chcieć,33,BACA
82,lub,33,GBBAB
83,wiele,33,DEBA
84,raz,33,ACAAAAA
85,r,32,-
86,życie,32,AEBAA
87,tak,32,EK
88,by,32,GBBAB
89,manifest,32,ACAAAAA
90,służba,31,ADAAA
91,terrorysta,31,AABDAA
92,kilka,31,ADAB
93,twierdzić,30,BBCA
94,gdzie,30,GBABB
95,tylko,30,GBBBA
96,państwo,29,AEAAAB
97,społeczeństwo,28,AEAAAB
98,rząd,28,ACAAAAA
99,już,28,GBBBA
100,sprawca,28,AABCBB
101,proces,27,ACAAAAA
102,warunek,27,ACABA
103,pisać,27,BAAFA
104,jeśli,26,GBBAB
105,uznać,26,BDA
106,wojna,26,ADAAA
107,według,26,GBBAA
108,strona,26,ADAAA
109,bo,26,G
110,sprawa,25,ADAAA
111,można,25,BFBA
112,powiedzieć,25,BDC
113,także,25,GBBBA
114,mina,25,ADAAA
115,świat,25,ACAABAB
