lp,słowo,liczba,etykieta
235,telewizja,12,ADACBAA
236,zrobić,12,BBCA
237,wymiar,12,ACAAAAA
238,dojść,12,AEBAA
239,rocznica,12,ADACABB
240,trzeba,12,BFBA
241,skarga,12,ADAB
242,raport,12,ACAAAAA
243,okazać,12,BAAFA
244,ówczesny,12,CAB
245,pracoń,12,-
246,znaleźć,12,BAFCAA
247,żaden,12,CCBBA
248,ideologia,12,ADACBAA
249,materiał,12,ACAAAAA
250,chrześcijański,12,CBA
251,bardziej,12,FC
252,wynikać,12,BDA
253,grozić,11,BBCA
254,kto,11,EFB
255,głównie,11,FC
256,walka,11,ADABA
257,miejsce,11,AEBAA
258,stolica,11,ADACABB
259,udział,11,ACAAAAA
260,jens,11,-
261,mundur,11,ACAAAAA
262,pomoc,11,ADCAB
263,norwegię,11,-
264,uwaga,11,ADAB
265,przemoc,11,ADCAB
266,należeć,11,BCBA
267,domagać się,11,-
268,klient,11,AAADAA
269,lippestad,11,-
270,wzgląd,11,ACAAAAAB
271,miasto,11,AEAAAB
272,ojciec,11,AAAAAB
273,sposobić,11,BBCA
274,nasi,11,AFFB
275,islamski,11,CBA
276,list,10,ACAAAAA
277,czuć,10,AEBAA
278,zabijać,10,BDA
279,nastolatek,10,AAADBA
280,sierpień,10,ACACBAA
281,ładunek,10,ACABA
282,eksplozja,10,ADACBAA
283,pistolet,10,ACAAAAA
284,dwie,10,DABCA
285,którą,10,-
286,odsiadywać,10,BAAB
287,przestępstwo,10,AEAAAB
288,oddać,10,BDC
289,pozbawienie,10,AEBAA
290,problem,10,ACAAAAA
291,przypadek,10,ACABA
292,strach,10,ABABAAB
293,gazeta,10,ADAAA
294,wiadomo,10,BFBA
295,działać,10,BDA
296,pracować,10,BAAA
297,światowy,10,CAB
298,możliwy,10,CAB
299,tłumaczyć,10,BCCA
300,zbyt,10,ACAAAAA
301,obrona,10,ADAAA
302,kościół,10,ACAABAA
303,każdy,10,AAEC
304,specjalny,10,CAB
305,szalony,10,AAEC
306,istnieć,10,BAD
307,zwolnienie,10,AEBAA
308,wydawać,10,BAAE
309,zastrzelić,9,BBCA
310,głowa,9,ADAAA
311,poddać,9,BDC
312,ruch,9,ACAAAB
313,świadek,9,AAAAB
