lp,slowo,liczba
408,mamy,14
409,cały,14
410,szkoły,14
411,wniosek,14
412,miasto,14
413,imigrantów,14
414,atak,14
415,ue,14
416,zwierząt,14
417,czego,13
418,oczywiście,13
419,szybko,13
420,mężczyzn,13
421,innego,13
422,pierwsze,13
423,tłumaczył,13
424,lepiej,13
425,możliwości,13
426,czasów,13
427,samochód,13
428,pół,13
429,wyspę,13
430,ofiary,13
431,mieszkacy,13
432,jakich,13
433,izolacji,13
434,wymiar,13
435,trumpa,13
436,została,13
437,film,13
438,jakiś,13
439,stronie,13
440,ktoś,13
441,norweg,13
442,możliwość,13
443,miały,13
444,środki,13
445,pieniądze,13
446,dziećmi,13
447,filmu,13
448,gdyby,13
449,oceny,13
450,uczniów,13
451,norweskiego,13
452,części,13
453,miszalskiego,13
454,wobec,13
455,czystego,13
456,ukasz,13
457,stanowi,13
458,wielokulturowości,13
459,godz,13
460,manifeście,13
461,dom,13
462,abw,13
463,sytuacji,12
464,długo,12
465,wraz,12
466,zmiany,12
467,jedną,12
468,rozmowy,12
469,przede,12
470,wszystkim,12
471,rzeczy,12
472,ci,12
473,przykład,12
474,powiedziała,12
475,coraz,12
476,ok,12
477,gier,12
478,przebywa,12
479,miejscu,12
480,informacje,12
481,kolejne,12
482,stolicy,12
483,sobotę,12
484,niektórzy,12
485,najpierw,12
486,ludziom,12
487,norweskich,12
488,prawa,12
489,prawicowy,12
490,doszło,12
491,wybuchu,12
492,jakie,12
493,śmierci,12
494,agent,12
495,poza,12
496,wydarzenia,12
497,sprawę,12
498,dodaje,12
499,rocznica,12
500,nienawiści,12
501,manifest,12
502,projekt,12
503,członkiem,12
504,skarży,12
505,praco,12
506,takiego,12
507,jaki,12
508,rodzice,12
509,rolę,12
510,wielokrotnie,12
511,ocena,12
512,razie,12
513,norweska,12
514,ciągu,12
515,większość,12
516,kraków,12
517,jednego,12
518,odrzucił,12
519,korespondencji,12
520,ii,12
521,europejska,12
522,scenie,12
523,kanał,12
524,wyświetle,12
525,felicja,12
526,przypadku,11
527,otworzył,11
528,dość,11
529,kocu,11
530,działa,11
531,skoro,11
532,zagrożenie,11
533,typu,11
534,warto,11
535,zapewne,11
536,nasze,11
537,pięć,11
538,wystarczy,11
539,nimi,11
540,nowych,11
541,lipcu,11
542,rannych,11
543,sieci,11
544,jens,11
545,związku,11
546,letnia,11
547,napastnik,11
548,strzelał,11
549,niestety,11
550,norwegię,11
551,warunków,11
552,wyniku,11
553,pokazuje,11
554,stwierdził,11
555,dzie,11
556,miało,11
557,strach,11
558,prawie,11
559,szkole,11
560,lippestad,11
561,wciąż,11
562,policjanta,11
563,żadnych,11
564,pierwsza,11
565,mój,11
566,będziemy,11
567,inna,11
568,dopiero,11
569,miszalski,11
570,procent,11
571,podpisów,11
572,sct,11
573,sądem,11
574,polityczną,11
575,celem,11
576,przedmiotu,11
577,dokonał,11
578,rodziny,11
579,ks,11
580,podsiadło,11
581,pani,11
582,ewy,11
583,muzeum,11
584,dodaj,11
585,podobnie,10
586,zespół,10
587,filmy,10
588,dzieje,10
589,życiu,10
590,raczej,10
591,innym,10
592,takiej,10
593,ponieważ,10
594,śmierć,10
595,razu,10
596,walki,10
597,młodzi,10
598,wyspy,10
599,osobami,10
600,policję,10
601,telewizji,10
602,przegrał,10
603,sprawy,10
604,zrobił,10
605,odsiaduje,10
606,przestępstwa,10
607,rząd,10
608,zjednoczonych,10
609,agenta,10
610,razy,10
611,drzwi,10
612,okazało,10
613,przeciw,10
614,całą,10
615,fot,10
616,tutaj,10
617,naszych,10
618,znany,10
619,mediów,10
620,przepisy,10
621,więźniów,10
622,pochodzenia,10
623,procesu,10
624,polityki,10
625,czegoś,10
626,rodziców,10
627,samo,10
628,nauczycieli,10
629,materiały,10
630,mam,10
631,tę,10
632,zespołu,10
633,zostały,10
634,nauki,10
635,człowiek,10
636,norweskim,10
637,pis,10
638,dokładnie,10
639,poprzez,10
640,prawicowych,10
641,teatr,10
642,spektaklu,10
643,eksperci,10
644,tiktoku,10
645,informacji,10
646,oznacza,10
647,wody,10
648,sekty,10
649,henryk,10
650,jakubowskich,10
651,majdanu,10
652,kolejny,9
653,pierwszej,9
654,ostatecznie,9
655,okazji,9
656,prof,9
657,stoi,9
658,tymczasem,9
659,nią,9
660,zwłaszcza,9
661,roli,9
662,relacji,9
663,ciała,9
664,duże,9
665,niezwykle,9
666,znów,9
667,znacznie,9
668,kobiety,9
669,pieniędzy,9
670,światem,9
671,sprawiedliwości,9
